email,name,credId,credUrl
saman@example.com,Saman Silva,td04423b6ca9a4f258159fa5d2f3db0fd,https://certify.sliitmozilla.org/certificate/td04423b6ca9a4f258159fa5d2f3db0fd
nimal@example.com,Nimal Perera,m594d0f75f1af48f4b1541d2945acdfe8,https://certify.sliitmozilla.org/certificate/m594d0f75f1af48f4b1541d2945acdfe8
kamal@example.com,Kamal Fernando,o7df0cc47b935438682da12af02f0fe94,https://certify.sliitmozilla.org/certificate/o7df0cc47b935438682da12af02f0fe94
amal@example.com,Amal Jayasinghe,ha6132d3dfe5f4d5086e21d2424c3dfb0,https://certify.sliitmozilla.org/certificate/ha6132d3dfe5f4d5086e21d2424c3dfb0
chathura@example.com,Chathura Wickramasinghe,p29884fca8a4a4352aedd36abc3e48b3d,https://certify.sliitmozilla.org/certificate/p29884fca8a4a4352aedd36abc3e48b3d
dilani@example.com,Dilani Fernando,k8ea73d22d57c4bf8b72c398e81a2c751,https://certify.sliitmozilla.org/certificate/k8ea73d22d57c4bf8b72c398e81a2c751
ramesh@example.com,Ramesh Kumara,c40471bf2da794540a6c64f3aa712eb0c,https://certify.sliitmozilla.org/certificate/c40471bf2da794540a6c64f3aa712eb0c
sanduni@example.com,Sanduni Perera,lf257814417bf4a7ab80901d70233f1ab,https://certify.sliitmozilla.org/certificate/lf257814417bf4a7ab80901d70233f1ab
thilina@example.com,Thilina Jayawardena,f4d395f573d4b4528ba9837736b11631a,https://certify.sliitmozilla.org/certificate/f4d395f573d4b4528ba9837736b11631a
nadeesha@example.com,Nadeesha Silva,x2c604a79a5924048bea8542916a3115b,https://certify.sliitmozilla.org/certificate/x2c604a79a5924048bea8542916a3115b
